variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,14.142135623730951,0.9339591174686886,0.0,9.402127418834526,0.0057740999618545175
baseline,10,113.66997681629827,5.874557593960231,0.3879609679861504,18.113368072037737,11.499163683461834,0.04836249991785735
baseline,20,119.42440198169501,5.030647691412177,0.332228413244964,5.854355928658592,10.493842560484316,0.09443860000465065
baseline,30,98.84630576376716,1.7844123609939417,0.11784416711982078,2.198938815055369,11.088868308322485,0.13612259994260967
baseline,40,87.52147513960392,3.032187508248392,0.20024833904514158,2.69908581064772,10.267433792295199,0.18203539995010942
baseline,50,102.0726186718263,1.4573488273314008,0.09624460271293732,9.00801302824337,8.273508215433143,0.22546429990325123
baseline,60,112.66132338494963,3.2646732113992742,0.2156019000571383,1.686260955183075,9.57547504114963,0.26086639997083694
baseline,70,99.9849131503604,1.9535477613192103,0.12901401822458813,1.3318884641132689,9.580784340743158,0.29540830000769347
baseline,80,95.03487333975717,1.950510466038598,0.1288134325637483,4.202738020983096,11.193480679382033,0.332631399971433
baseline,90,102.49410378378455,0.8605268475143569,0.056829952451735284,5.347706388497632,6.776428918455595,0.3713729999726638
baseline,100,106.01026859389042,2.4531859215608547,0.16201056327326707,1.3151022098252745,6.458031049542949,0.41636109992396086
baseline,110,96.03187546568422,2.2375209893166645,0.1477678608168053,0.8226720149211274,7.089938001931236,0.4550646999850869
baseline,120,92.60469115766035,2.152359080390858,0.1421436931932939,3.4057297215022055,9.338612203937094,0.49401299993041903
baseline,130,98.93918029171579,1.0421797143476936,0.06882646809175161,4.656470717739753,8.076276666859043,0.5261943999212235
baseline,140,104.3443450808916,1.5746755737023832,0.10399296458780433,1.6382910944120874,6.541274877026182,0.557679699966684
baseline,150,101.7377298564489,1.973705325171397,0.1303452415310678,1.4772100368658883,5.9429717793310814,0.6041968999197707
baseline,160,100.3358492866717,2.426566045196673,0.16025256314530212,1.78372997798011,7.981872509258799,0.6400392999639735
baseline,170,103.02904075369428,1.6844222164399405,0.11124072972904114,2.4486363634490917,9.812495275181359,0.6891404999187216
baseline,180,103.92124762415875,1.0931908554514485,0.07219528886917283,0.947049947093909,8.821839784648773,0.739092499949038
baseline,190,100.1095483043654,0.8047910267557877,0.05314910966023239,0.7230533790685867,5.698511741181069,0.7928196999710053
baseline,200,94.0701502381767,2.0983992744865616,0.1385801399901559,0.8677792123551018,4.831623817088067,0.8470341999782249
baseline,210,94.00288246031366,2.697515669651618,0.17814631546583404,1.7127059136331426,6.424191291777069,0.9005767999915406
