variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,0.0,0.0,64.5147178836299,0.001388806224108432,0.008672100026160479
baseline,10,-3864.1108878088107,9140.937657650991,0.1483441926039502,1.0434114308781184,0.0005633739665735211,0.1312564000254497
baseline,20,-7749.300471402125,18471.260085312562,0.299761826013526,0.1933133544702717,0.000328870098243463,0.2645860000047833
baseline,30,-8752.995141139207,18531.354988408522,0.3007370793423704,0.054074188543386435,0.00021804284143588586,0.39752530003897846
baseline,40,-8880.175469656555,17010.935432665072,0.27606286977402955,0.02311631151809048,0.00019071705781322103,0.5389116000151262
baseline,50,-8888.442723733631,15977.192686370017,0.2592867206739451,0.013553186125002968,0.00020807700599540196,0.686217000009492
baseline,60,-8874.980794510797,14439.626031688236,0.23433423849914167,0.010333709701380306,0.0002619181560551235,0.8212598001118749
baseline,70,-8855.773344884903,12962.100127176454,0.21035613082954555,0.011782076402241512,0.00038299458472586224,0.95551990007516
baseline,80,-8830.872208500236,11844.750478934384,0.1922231626776358,0.013778842686064765,0.000578926215298428,1.1007768000708893
baseline,90,-8799.145695523453,10615.899164653885,0.1722806838122796,0.02117953003690869,0.0008984693273922398,1.2272607000777498
baseline,100,-8755.901782560371,9155.31908117902,0.14857758230002532,0.032739544969498574,0.0012606679446307844,1.3557553000282496
baseline,110,-8699.379963642472,7728.060216584389,0.12541523595934045,0.04567315397163738,0.0016220289595130987,1.4866227000020444
baseline,120,-8629.00027740002,5864.90301180515,0.09517889023764405,0.06322345641168672,0.0017769028131220373,1.6129868000280112
baseline,130,-8539.981524029268,4237.60049124154,0.0687701247940543,0.06724433330602168,0.0015064500216083142,1.7328454001108184
baseline,140,-8430.700735869184,2071.1407283076655,0.033611617387281474,0.0682836252443626,0.0009216090775192103,1.8568926000734791
baseline,150,-8282.72423989034,3148.4817853103573,0.051095303989867925,0.05089306758959552,0.0004830418410582414,1.9946634001098573
baseline,160,-8113.298767221287,1174.839848829877,0.01906595092766458,0.03510489412878344,0.0003066855707611449,2.1395788000663742
baseline,170,-7992.1802758525855,3849.137220239563,0.062465927954374015,0.019280723787341327,0.00025713658251209334,2.2832542000105605
baseline,180,-7939.77509526524,520.5786026517501,0.00844823752108506,0.01210558746351724,0.0002608765477031777,2.4149045000085607
baseline,190,-7922.53886508931,263.9733091469984,0.004283904877266973,0.0075468292075567215,0.0003529275774264251,2.557398600038141
baseline,200,-7924.287228104726,264.8261772821426,0.004297745693126789,0.006186702753925608,0.0006626834660814203,2.6923775000032037
baseline,210,-7934.433806795997,265.2134051131287,0.00430402984056251,0.009612422195860115,0.00157501849421695,2.823302400065586
baseline,220,-7949.8660807804645,265.19068112291023,0.004303661063079505,0.025024789691043967,0.0038871928086435404,2.9541111000580713
baseline,230,-7978.783357198873,264.61254063740387,0.004294278679483188,0.08347897608833929,0.00812552228943676,3.0771906001027673
baseline,240,-8032.12349627501,263.7917972592477,0.0042809592019495335,0.14404199153627095,0.007510840603244854,3.2018960000714287
baseline,250,-8098.354212280895,495.5522285325077,0.008042095678577686,0.13621088613283566,0.0023737288674507656,3.32628320006188
baseline,260,-8264.302638487085,4197.381941181035,0.06811743591684337,0.1020157064809493,0.0015298130624556748,3.4524780000792816
baseline,270,-8417.88060089768,6411.199422098591,0.10404449056690417,0.07260034645594592,0.0011809495953763111,3.575830200104974
baseline,280,-8522.000442071743,6928.320502185236,0.11243661749927943,0.05281766672734998,0.0010263794008592382,3.731068800087087
baseline,290,-8569.026111282152,6638.690236695455,0.10773633734237587,0.039545855251053356,0.0009570576481342192,3.862275000079535
baseline,300,-8581.30066842011,5881.569518891833,0.09544936353369947,0.030593702604766404,0.0009271766633403995,4.005015900009312
baseline,310,-8573.872463011734,4915.484853857138,0.07977120720127158,0.027975754083293145,0.0009494409386512479,4.167341700056568
baseline,320,-8556.484666665216,4421.63238427597,0.07175669615117529,0.023029831626061193,0.0009898665142757882,4.299612000002526
baseline,330,-8537.589489508708,3351.534405533725,0.05439055422909695,0.023243212593098538,0.0009685775726619185,4.424955900060013
baseline,340,-8516.351136878196,3020.1802727324653,0.04901315607396977,0.019453790852266756,0.0009146355447794798,4.5492488000309095
baseline,350,-8495.207124069313,2111.802638114132,0.034271501351693615,0.01898060564632101,0.000759309618452647,4.693049600115046
baseline,360,-8470.830664954836,1270.6102428652705,0.02062016585731694,0.01681718450511069,0.0004870286435981769,4.832494500093162
baseline,370,-8440.591278197957,2231.648024877572,0.03621641858038186,0.011497255326833798,0.00033782333971103866,4.973963600001298
baseline,380,-8412.185020987703,1353.9304405078838,0.021972332113100294,0.008881234514608823,0.00020816211972095536,5.111259900033474
baseline,390,-8382.886152599918,934.3089213013121,0.015162481986418843,0.005963160590622667,0.00012199457357923733,5.233318300102837
baseline,400,-8356.848850419794,2168.355102482336,0.035189266025369405,0.003159804645169478,8.496094215136314e-05,5.365451600053348
baseline,410,-8340.877398367413,2168.983233925836,0.035199459689884464,0.0019739861394937634,7.4370403538888e-05,5.493605500087142
baseline,420,-8333.387346743548,1769.7502997743043,0.02872048679939063,0.0013597031306523445,7.417552013226757e-05,5.619392100023106
baseline,430,-8330.821355636237,1135.2975143898789,0.018424236051590884,0.0011426464766773879,7.937388355952834e-05,5.746968900086358
baseline,440,-8330.494603803101,761.1877676161384,0.012352976142716259,0.0009787767678412775,8.97550509466867e-05,5.8756606000242755
baseline,450,-8331.127721844214,662.0895705420934,0.010744755784583537,0.0008267156940530796,0.00011633314243732119,6.012556900037453
baseline,460,-8332.347929544985,565.1449241039575,0.009171484437403567,0.0008350705851711693,0.0001794006229804435,6.15112780011259
baseline,470,-8333.928827543334,406.2254408471087,0.00659245115704397,0.0010242964362640276,0.00031481759231066444,6.292525900062174
baseline,480,-8335.78022615011,317.21227565376745,0.005147896274791166,0.0015069503620644595,0.0006133581843841383,6.429311300045811
baseline,490,-8337.979977496205,282.57153438848826,0.004585727164065525,0.0025586087281895416,0.0013042845078822137,6.5583995000924915
baseline,500,-8340.838606754782,275.13045153161295,0.004464969155440628,0.005407802540523256,0.002878958000579274,6.690700700040907
baseline,510,-8345.130081104206,271.1352446935208,0.004400132728929558,0.012549038639611881,0.006118076872114077,6.8144997000927106
baseline,520,-8351.445224073972,269.24303405589,0.004369424888028685,0.030346172266091414,0.012080928020527435,6.939996700035408
baseline,530,-8360.418670606705,268.98688393853644,0.004365267942235228,0.07080429079946103,0.019599992620162064,7.06919970002491
baseline,540,-8374.18687278104,268.6649235059858,0.00436004299024388,0.11156855670639182,0.01616781166594729,7.192463800078258
baseline,550,-8391.062641913399,568.6243525740857,0.00922795052725731,0.08853312907919608,0.011208219982247284,7.326512800063938
baseline,560,-8405.221681534751,709.5791854541702,0.011515443524184083,0.06826920233777187,0.009241141003060307,7.464066500077024
baseline,570,-8414.592498075845,728.9386846591635,0.01182962018595989,0.05161617102139953,0.007964131046076956,7.591506500029936
baseline,580,-8420.493450962724,717.7027992353059,0.011647278022188807,0.04013865623643859,0.006517638813276004,7.7319745001150295
