benchmark,benchmark_path,status,return_code,elapsed_seconds,output_dir,summary_file,summary:Absolute Objective Gap,summary:Average Inner Iterations At Restart,summary:Clipped Event Count,summary:Columns,summary:Delta Log Omega Sign Change Count,summary:Delta Log Omega Sign Change Rate,summary:Dual Objective Value,summary:Excess Delta Log Omega Sum,summary:Feasibility Polishing Iteration Count,summary:Feasibility Polishing Time (sec),summary:Final Primal Weight,summary:Initial Primal Weight,summary:Invalid Weight Reset Count,summary:Iterations Count,summary:Log Primal Weight Range,summary:Maximum Absolute Delta Log Omega,summary:Maximum Inner Iterations At Restart,summary:Maximum Primal Weight,summary:Mean Absolute Delta Log Omega,summary:Minimum Primal Weight,summary:Nonzeros,summary:Precondition time (sec),summary:Presolve Time (sec),summary:Primal Objective Value,summary:Reduced Columns,summary:Reduced Nonzeros,summary:Reduced Rows,summary:Relative Dual Residual,summary:Relative Objective Gap,summary:Relative Primal Residual,summary:Restart Count,summary:Rows,summary:Runtime (sec),summary:Termination Reason,summary:Weight Update Count
qap15,C:\Users\ASUS\Documents\PDLP改进实验\qap15.mps,ok,0,0.616417,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\qap15,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\qap15\qap15_summary.txt,0.023711251074473694,440,4,22275,1,0.25,1040.9875550779632,1.2680068703856968,0,0,0.1447975530271792,1,0,2800,2.625565878716825,1.3562719730057304,800,1,0.91734398593249333,0.072398776513589599,94950,0.0050000000000000001,0.0070000000000000001,1041.0112663290377,22275,94950,6330,8.8975438271503752e-06,1.1383228272043611e-05,9.7620904560404489e-05,5,6330,0.091999999999999998,OPTIMAL,5
rmine15,C:\Users\ASUS\Documents\PDLP改进实验\rmine15.mps,ok,0,4.303118,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\rmine15,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\rmine15\rmine15_summary.txt,0.0084754466461163247,1600,6,42438,4,0.5,-5042.4148645632176,3.6409776798474338,0,0,0.25242526754629319,1,0,14800,2.3456452928692384,2.5802260399681045,5200,1,1.0217566045842974,0.095785372565661539,879732,0.017000000000000001,0.095000000000000001,-5042.4233400098638,42438,879732,358395,9.1593171283872843e-05,8.4033141065790853e-07,4.0093662851442473e-05,9,358395,2.5419999999999998,OPTIMAL,9
s100,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\s100.mps,ok,0,32.4899,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\s100,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\s100\s100_summary.txt,0.00010730262130698165,8728.5714285714294,7,364417,3,0.23076923076923078,-0.1709169837062168,8.9460206204241093,0,0,0.05053868442018436,1,0,165000,3.6498465127295416,4.1508523980158927,35600,1.9441605788216685,1.0791573479730925,0.05053868442018436,1777917,0.13,0.17799999999999999,-0.17102428632752378,364252,1413832,14546,9.9928156672560338e-05,7.9960743218131841e-05,1.764986796810577e-09,14,14733,29.488,OPTIMAL,14
s250r10,C:\Users\ASUS\Documents\PDLP改进实验\s250r10.mps,ok,0,16.843644,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\s250r10,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\s250r10\s250r10_summary.txt,0.00013443786025479909,5076.9230769230771,6,273142,4,0.33333333333333331,-0.17244546560381732,10.46366559354165,0,0,0.0087722756282603773,1,0,92600,4.7361590275498244,3.0241279953033784,18000,1,1.2913651856143791,0.0087722756282603773,1318607,0.056000000000000001,0.14799999999999999,-0.17257990346407212,270830,1208911,8503,9.7632011040784379e-05,9.9951914176879317e-05,2.6172211464915122e-08,13,10962,14.292999999999999,OPTIMAL,13
s82,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\s82.mps,ok,0,44.862642,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\s82,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\s82\s82_summary.txt,29.791344905877292,2260,7,1690631,1,0.1111111111111111,-4.2755844318558145,4.7232879294965855,0,0,37.593141310987114,1,0,34800,4.8985099608384894,2.0827298035041726,8200,37.593141310987114,1.0893486229358629,0.2803578828208001,7022608,0.69599999999999995,0.79400000000000004,-34.066929337733107,1689103,6747734,86310,0.10264779261149809,0.75723033561992381,3.3767662563406666e-07,10,87878,30.07,TIME_LIMIT,10
savsched1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\savsched1.mps,ok,0,2.469426,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\savsched1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\savsched1\savsched1_summary.txt,0.00049302034312859178,200,2,328575,1,0.5,217.40347815287532,0.51048351792927571,0,0,1.9980915743996843,1,0,800,1.3853396927688808,1.1561092296125384,200,3.9961831487993686,0.86299013041936723,1,1770507,0.014,0.183,217.40397117321845,280096,1715277,289058,1.6846951028515721e-08,1.1312802107696153e-06,8.7261799785956703e-09,3,295989,0.22900000000000001,OPTIMAL,3
scpm1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\scpm1.mps,ok,0,11.804563,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\scpm1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\scpm1\scpm1_summary.txt,0.034470345726504092,1150,8,500000,0,0,413.81649525792915,13.615624522415567,0,0,0.00390625,1,0,13200,5.5451774444795623,3.2605906041375707,3400,1,2.3951002458618915,0.00390625,6250000,0.047,0.45800000000000002,413.78202491220264,500000,6250000,5000,5.5614527023857155e-07,4.1600781183420985e-05,9.6679027436699967e-05,8,5000,7.9379999999999997,OPTIMAL,8
square41,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\square41.mps,ok,0,39.172991,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\square41,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\square41\square41_summary.txt,0.031287203844827971,5400,3,62234,5,0.41666666666666669,8.8679200290346412,0.93288482109225557,0,0,5.4776361749890174,1,0,94800,2.5090408594111304,1.1436605947927336,19200,5.4776361749890174,0.35581632205906677,0.44558502093033003,13566426,0.033000000000000002,1.169,8.8366328251898132,23828,4336554,1754,0.0004699652017270735,0.0016727052546333236,7.1206672666076034e-05,13,40160,30.056000000000001,TIME_LIMIT,13
supportcase10,C:\Users\ASUS\Documents\PDLP改进实验\supportcase10.mps,ok,0,3.5,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\supportcase10,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\supportcase10\supportcase10_summary.txt,0.00017609479561375707,1940,8,14770,2,0.22222222222222221,3.3841747502444721,8.6828096520651226,0,0,58.779205528057275,1,0,22400,5.0617053170026223,2.7160960608143094,7000,117.55841105611455,1.4732432141195821,0.74470285570463257,555082,0.010999999999999999,0.13200000000000001,3.3839986554488584,8962,370057,109587,8.1865013388276412e-05,2.266875189535501e-05,7.8235861595062479e-07,10,165684,1.603,OPTIMAL,10
supportcase19,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\supportcase19.mps,ok,0,35.110845,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch5\supportcase19,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch5\supportcase19\supportcase19_summary.txt,28839.541653424501,3218.181818181818,9,1429098,1,0.10000000000000001,12682014.757925769,3.9717953923555185,0,0,39.205250867157318,1,0,47400,5.3427061065513186,1.6389148783444427,12800,209.07773206019593,0.99894517426723117,1,4287094,0.040000000000000001,0.32500000000000001,12653175.216272345,1429001,4286995,10712,0.00013295819527502919,0.0011383194893930459,5.1804659498526096e-06,11,10713,30.074999999999999,TIME_LIMIT,11
tpl-tub-ws1617,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\tpl-tub-ws1617.mps,ok,0,24.466049,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_tpl_tub_ws1617\tpl-tub-ws1617,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_tpl_tub_ws1617\tpl-tub-ws1617\tpl-tub-ws1617_summary.txt,22.359369045123458,1600,9,747601,1,0.125,120847.98070216365,21.678585226832286,0,0,0.125,1,0,16800,4.1588830833596715,5.2406992545610107,5200,8,3.1018788724301998,0.125,4720567,0.031,1.3560000000000001,120825.62133311853,685986,2470435,322542,4.4122065334049637e-06,9.2518489145413814e-05,9.4477852740003762e-06,9,1154615,7.4800000000000004,OPTIMAL,9
woodlands09,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\woodlands09.mps,ok,0,2.579342,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\woodlands09,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\woodlands09\woodlands09_summary.txt,5.7655616692763563e-05,200,2,382147,1,1,-5.7655616692763563e-05,3.4329668650587188,0,0,1,1,0,600,0.69314718055994529,3.9923017200513513,200,1,2.4096306130893046,0.5,2646003,0.010999999999999999,0.35699999999999998,0,304396,1859001,114131,1.5314758666643902e-06,5.7652292714273376e-05,3.8699199122523153e-06,2,194599,0.155,OPTIMAL,2
