variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,12252.124749972509,0.27816861622201355,0.032240735599563634,2.2704219676183712e-05,0,0.009712300030514598
baseline,100,-300.31288456965393,10462.167024339642,0.2375299454774707,0.003301364860232709,2.4054987721874313e-06,2,3.484733600053005
baseline,200,-3545.654887141368,8083.267659080699,0.18352011795208645,0.00028194505704304783,4.052390891241905e-07,3,7.302624000003561
baseline,300,-10022.34661103172,12191.159305260671,0.2767844747984707,9.976554296836446e-05,4.052390891241905e-07,3,10.123245000024326
baseline,400,-91469.96582052465,91925.3429217418,2.0870457947575467,1.0932323868968043e-05,2.461494262991064e-08,4,13.786360000027344
baseline,500,-198095.910362608,198231.25187350245,4.500583706979749,5.047937478690724e-06,2.461494262991064e-08,4,16.663573500001803
baseline,600,-304720.4829588547,304802.822012214,6.920153112209578,3.2815686798890335e-06,2.461494262991064e-08,4,20.05268890003208
baseline,700,-1344620.2974327132,1344622.5163816626,30.527911881054596,7.436879033446329e-07,1.3490292584752264e-09,5,23.27814589999616
baseline,800,-3290139.493704991,3290078.410488111,74.69696704724241,3.039293573191081e-07,1.3490292584752264e-09,5,26.687115600099787
baseline,900,-5235635.891813193,5235503.098833263,118.86531372705622,1.9099015267755382e-07,1.3490292584752264e-09,5,29.53573820006568
baseline,1000,-7181096.090383438,7180857.142542608,163.03205651195492,1.392451589624522e-07,1.3490292584752264e-09,5,32.96791890007444
B_only,0,0.0,12252.124749972509,0.27816861622201355,0.032240735599563634,2.2997074009779903e-05,0,0.012234100024215877
B_only,100,-292.93940332009805,10365.387069670873,0.23533268201357221,0.0033833013766908482,2.4730804936261453e-06,2,3.3966908999718726
B_only,200,-3424.6184622515652,8040.868523527018,0.18255750051987304,0.00029190616109180166,4.20795157693542e-07,3,7.065750599955209
B_only,300,-9661.878010928367,11897.896818242589,0.27012633003840947,0.00010348720831521067,4.20795157693542e-07,3,9.808555499999784
B_only,400,-86977.30088119756,87444.3690762185,1.9853110900126374,1.1497007732233187e-05,2.591353406945342e-08,4,13.276882100035436
B_only,500,-188259.95275405847,188401.31585162264,4.277407747172177,5.3116739110599405e-06,2.591353406945342e-08,4,16.020959399989806
B_only,600,-289541.3008050258,289628.26896807953,6.575634548432801,3.4536039799676737e-06,2.591353406945342e-08,4,19.19831989996601
B_only,700,-1276776.7233130168,1276781.843754099,28.987677316562234,7.832048998945407e-07,1.4209068400319461e-09,5,22.220153899979778
B_only,800,-3123880.4038814427,3123823.3432507073,70.92236117788656,3.201050652378646e-07,1.4209068400319461e-09,5,25.68693730002269
B_only,900,-4970962.438342458,4970836.989798242,112.85641267409385,2.0115920718082093e-07,1.4209068400319461e-09,5,28.535670700017363
B_only,1000,-6818010.103240839,6817784.05069953,154.78895242948434,1.4666050914845797e-07,1.4209068400319461e-09,5,31.880803699954413
C_only,0,0.0,12252.124749972509,0.27816861622201355,0.032240735599563634,2.2704219676183712e-05,0,0.013599199941381812
C_only,100,-163.57515769878094,6991.93721158374,0.15874287428079092,0.005975207828228681,5.6760549190459255e-06,2,3.4867754000006244
C_only,200,-810.9378296317088,6940.622720362355,0.15757784525060403,0.0012307600772309593,2.8380274595229623e-06,3,7.128762300009839
C_only,300,-1735.7358290576503,6635.259787074008,0.15064497553765852,0.0005757129239001317,2.8380274595229623e-06,3,9.975244999979623
C_only,400,-2665.154841431469,6639.322038815758,0.1507372036996147,0.0003750464079333666,1.4190137297614812e-06,4,13.583474799990654
