variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,0.0,0.0,64.5147178836299,0.001388806224108432,0,0.011073000030592084
baseline,100,-8503.069899360202,2591.843062114798,0.04206186288599778,0.013483626688894435,0.00039650866672262503,2,3.1600069999694824
baseline,200,-8442.261078810787,767.1005802145042,0.012448932536225723,0.0017061195026217527,9.422030426912285e-05,5,7.266273700166494
baseline,300,-8431.393006486831,461.40628509171586,0.007487956420644481,0.00034779253682355504,6.791100626954565e-05,7,10.541031500091776
baseline,400,-8432.48677983534,287.8758724865723,0.004671808896807684,0.00016101356582520976,5.388950662930508e-05,9,14.306047900114208
baseline,500,-8435.393279018053,273.1115923395233,0.004432205991742544,9.037673474979866e-05,6.692604218542941e-05,11,17.55775270005688
baseline,600,-8436.14712283997,272.53239651380824,0.0044228064815015605,9.916210124950911e-05,0.00010308863147647426,12,21.064626300008968
baseline,700,-8436.296516231196,270.77594790391146,0.004394301861883312,0.00011489263100050079,0.00010308863147647426,12,23.719281600089744
baseline,800,-8436.294097261141,270.32468906740985,0.004386978583871433,0.00011118029571922372,0.00017076485918175675,13,27.21197389997542
baseline,900,-8436.877102452752,270.85097889149256,0.004395519506253053,0.0001449626873206975,0.00017076485918175675,13,30.03697510017082
baseline,1000,-8438.32300933779,272.9468018640202,0.004429531680752482,0.00015072757435647983,0.00017076485918175675,13,33.3357198999729
B_only,0,0.0,0.0,0.0,64.5147178836299,0.001388806224108432,0,0.01108850003220141
B_only,100,-8503.069899360202,2591.843062114798,0.04206186288599778,0.013483626688894435,0.00039650866672262503,2,3.2110095000825822
B_only,200,-8442.261078810787,767.1005802145042,0.012448932536225723,0.0017061195026217527,9.422030426912285e-05,5,7.466828000033274
B_only,300,-8431.393006486831,461.40628509171586,0.007487956420644481,0.00034779253682355504,6.791100626954565e-05,7,10.89878960000351
B_only,400,-8432.48677983534,287.8758724865723,0.004671808896807684,0.00016101356582520976,5.388950662930508e-05,9,14.468190000159666
B_only,500,-8435.393279018053,273.1115923395233,0.004432205991742544,9.037673474979866e-05,6.692604218542941e-05,11,17.312071700114757
B_only,600,-8436.14712283997,272.53239651380824,0.0044228064815015605,9.916210124950911e-05,0.00010308863147647426,12,20.397867300081998
B_only,700,-8436.296516231196,270.77594790391146,0.004394301861883312,0.00011489263100050079,0.00010308863147647426,12,22.853171200025827
B_only,800,-8436.294097261141,270.32468906740985,0.004386978583871433,0.00011118029571922372,0.00017076485918175675,13,25.984793700044975
B_only,900,-8436.877102452752,270.85097889149256,0.004395519506253053,0.0001449626873206975,0.00017076485918175675,13,28.44529530010186
B_only,1000,-8438.32300933779,272.9468018640202,0.004429531680752482,0.00015072757435647983,0.00017076485918175675,13,32.166554500116035
C_only,0,0.0,0.0,0.0,64.5147178836299,0.001388806224108432,0,0.011996899964287877
C_only,100,-8488.214928573161,2310.0411115235556,0.03748862495348805,0.014949139658313806,0.0004268371976857336,2,4.3750517999287695
C_only,200,-8436.219611816858,787.9340421227968,0.012787029480070869,0.0015594573828069268,8.170396611868775e-05,5,9.82054469990544
C_only,300,-8429.743357863306,426.24355049227984,0.006917316113352333,0.0002814231503251528,5.846578890933241e-05,7,14.533214200055227
C_only,400,-8431.364007379847,289.53492291964517,0.0046987328849367824,0.00013493840713306657,4.822976972597948e-05,9,19.74085589987226
C_only,500,-8435.163726778923,273.1620499776412,0.004433024846204486,9.57606440579359e-05,5.355960509670314e-05,10,23.977957099908963
C_only,600,-8436.236697792054,273.05450006122794,0.0044312794666698605,7.236515472443604e-05,6.653115491409895e-05,11,28.639849700033665
C_only,700,-8436.335877946276,270.6091326323386,0.004391594691382617,9.800288381012724e-05,0.00011137495869376079,12,32.860799100017175
C_only,800,-8436.655234871087,274.31079588637726,0.004451667330238485,0.00011309820133948932,0.00011137495869376079,12,37.40637940005399
C_only,900,-8437.756354868841,275.3534151569638,0.0044685875324848075,0.00011040445467462948,0.00011137495869376079,12,41.018737899838015
C_only,1000,-8439.052177021822,274.6915946695367,0.004457847143529857,0.00012079535402382889,0.00017829935709006442,13,44.93074380001053
B_plus_C,0,0.0,0.0,0.0,64.5147178836299,0.001388806224108432,0,0.01222350005991757
B_plus_C,100,-8488.214928573161,2310.0411115235556,0.03748862495348805,0.014949139658313806,0.0004268371976857336,2,3.736621600110084
B_plus_C,200,-8436.219611816858,787.9340421227968,0.012787029480070869,0.0015594573828069268,8.170396611868775e-05,5,8.8077996999491
B_plus_C,300,-8429.743357863306,426.24355049227984,0.006917316113352333,0.0002814231503251528,5.846578890933241e-05,7,12.110112000023946
B_plus_C,400,-8431.364007379847,289.53492291964517,0.0046987328849367824,0.00013493840713306657,4.822976972597948e-05,9,15.785413100151345
B_plus_C,500,-8435.163726778923,273.1620499776412,0.004433024846204486,9.57606440579359e-05,5.355960509670314e-05,10,18.45587019994855
B_plus_C,600,-8436.236697792054,273.05450006122794,0.0044312794666698605,7.236515472443604e-05,6.653115491409895e-05,11,23.427217800170183
B_plus_C,700,-8436.335877946276,270.6091326323386,0.004391594691382617,9.800288381012724e-05,0.00011137495869376079,12,27.7114494999405
B_plus_C,800,-8436.655234871087,274.31079588637726,0.004451667330238485,0.00011309820133948932,0.00011137495869376079,12,31.11898809997365
B_plus_C,900,-8437.756354868841,275.3534151569638,0.0044685875324848075,0.00011040445467462948,0.00011137495869376079,12,33.98999340017326
B_plus_C,1000,-8439.052177021822,274.6915946695367,0.004457847143529857,0.00012079535402382889,0.00017829935709006442,13,37.526832700008526
