variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,14.142135623730951,0.9339591174686886,0.0,9.402127418834526,0.004757600021548569
baseline,100,103.33879984838859,1.5472346009176,0.10218073852757954,1.3343257769917376,8.830028190017288,0.4165262000169605
baseline,200,97.85329098450943,0.7079389968387725,0.04675291612956374,1.2282936129175672,7.669874558789678,0.717799499980174
baseline,300,99.47007706505394,0.4198746617340278,0.027728893213451,0.8936697065734042,8.641680213359335,1.0753828999586403
baseline,400,99.44437432278768,0.2839078403774283,0.018749524336084022,0.6987973075203644,7.809031755549708,1.475593699957244
baseline,500,99.80181145625863,0.2311236802881622,0.01526361182011487,0.5780785274884223,9.746770716257819,1.8724569999612868
baseline,600,99.82129965126848,0.1612425370738389,0.010648599449944004,0.5832428130578018,7.479822923582918,2.1832075000274926
baseline,700,99.84203936655993,0.172434535064882,0.011387728874561152,0.4011051640782579,10.398203465042156,2.5328781999414787
baseline,800,99.90847672178876,0.1322797957303727,0.0087358744510954,0.4498614197443785,7.146448747733853,2.8447493999265134
baseline,900,99.97276662332155,0.15613892893744447,0.010311552664522534,0.29435132103063644,10.734422416209215,3.217882200027816
baseline,1000,99.98482182821303,0.09310996385762059,0.0061490641856157624,0.49167358699474073,6.848223056709011,3.5332077000057325
baseline,1100,99.99057476275335,0.1438926036835449,0.00950279453698952,0.3101736473682084,10.118108047357397,3.840813699993305
baseline,1200,99.96407372877546,0.07825355940335982,0.005167934124214277,0.46341464157837475,6.653639761670179,4.174568000016734
baseline,1300,99.97671241473893,0.19699194582742582,0.01300952195400347,0.3145537170705841,9.905743955862265,4.5118268999503925
baseline,1400,100.01757144409014,0.08081201695620642,0.005336896918923166,0.6437064318180963,6.461866422280104,4.895668099983595
baseline,1500,100.00481683374133,0.18138464272888546,0.011978801883442195,0.36750037516340994,10.123320222716691,5.186424099956639
baseline,1600,100.00072213532815,0.08865416026679103,0.005854798984091193,0.4755264255343003,7.08728007250924,5.494124499964528
baseline,1700,99.98511725382505,0.2313853780630565,0.015280894572125371,0.38743642326441396,10.399444674609756,5.823012699955143
baseline,1800,100.03972182281852,0.09232952268645439,0.006097523161908177,0.7746526939382817,6.987411899733904,6.145846399944276
baseline,1900,100.05674086587656,0.21246837230621204,0.014031598817093467,0.40402994647819895,11.060176111986568,6.486416399944574
baseline,2000,100.02099249934325,0.0908583655939403,0.006000366649176348,0.579446688215429,7.898581705749165,6.749178699916229
baseline,2100,99.98396881980638,0.2538401597088806,0.016763828169063483,0.46266736178497825,11.627082208513965,7.028584999963641
baseline,2200,100.04530165122078,0.10181954361365564,0.006724252519181161,0.9297684330255553,7.849105453396844,7.327956499997526
baseline,2300,100.05591049412799,0.23517179211339514,0.015530952697638692,0.4490735771455614,12.326618342337596,7.732271599932574
baseline,2400,100.01851900874183,0.09917061185425677,0.00654931472802524,0.6187795472428586,8.75549621030783,8.024248700006865
baseline,2500,99.95098019711769,0.26208332428409287,0.017308214032461345,0.5266858990839247,12.887360054916956,8.301327799912542
baseline,2600,100.03600103001637,0.10504329829874431,0.006937152123648866,1.0535452271016355,8.698870592001267,8.61744770000223
baseline,2700,100.03591139148647,0.24450392736669166,0.016147255145667956,0.49038374997699063,13.605113298378932,8.912754299934022
baseline,2800,99.99930907822055,0.10374339646128582,0.006851305459099033,0.6838214357430045,9.544684512610687,9.16615990002174
baseline,2900,99.92624913422864,0.26641215245898325,0.01759409366545751,0.584924579800532,14.163755575349825,9.479508899967186
baseline,3000,100.03658304806946,0.10836073875132875,0.007156238818882615,1.154465883183068,9.550849145475,9.75368189997971
baseline,3100,100.02584246864538,0.24895216241125415,0.01644102051371757,0.5264897433775905,14.824715030487132,9.999796699965373
baseline,3200,99.9861464665627,0.10392568845139702,0.006863344183004366,0.7495252416969771,10.267228843187205,10.264622399932705
baseline,3300,99.92434564144055,0.2697377477750701,0.01781371891507388,0.6258112141432708,15.102519750198184,10.574376699980348
baseline,3400,100.02810187156832,0.10602485241322974,0.007001974823621724,1.211555181221301,10.194702952713683,10.875386599916965
baseline,3500,100.00042088066525,0.25122115148999125,0.016590866554931274,0.554936464254486,15.816993246682891,11.132741499925032
baseline,3600,99.98017291504864,0.10112771416857316,0.006678563492066766,0.8098919697220412,10.876784868487212,11.409263500012457
baseline,3700,99.9212877104,0.2730555659944176,0.018032830558358054,0.6657877195643739,15.87077679787043,11.670330799999647
baseline,3800,100.02802288836949,0.10490693589499386,0.006928146630161096,1.241904418122425,10.785838911349503,11.981623400002718
baseline,3900,99.98023947526158,0.2532948508507049,0.01672781549081742,0.5804963752577054,16.774000621777624,12.278165400028229
baseline,4000,99.9771138838506,0.10016932067956305,0.0066152703402402755,0.8706697051730847,11.487031319282055,12.53919069992844
baseline,4100,99.91731221478088,0.27600762968443215,0.018227787449735255,0.7090658648611552,16.723668408568383,12.850721800001338
baseline,4200,100.02500699018059,0.10391239990930723,0.006862466595957202,1.279570401121971,11.423245568496439,13.144249000004493
baseline,4300,99.96823173886813,0.25495959660888967,0.016837756769878198,0.6114518850025235,17.786742978036006,13.400885300012305
baseline,4400,99.97096307323993,0.10007065810158171,0.006608754576517574,0.9257997500376677,12.148777287618879,13.662219299934804
baseline,4500,99.92001229919977,0.27938366066847653,0.018450743515374596,0.7489168619894544,17.680404016939466,13.928434000001289
baseline,4600,100.01659717414898,0.10080929135171365,0.006657534568223258,1.3075539418332396,12.08540626422314,14.197388099972159
baseline,4700,99.95766508220879,0.2563857733996426,0.016931942743785195,0.6436736686247125,18.808719936309238,14.508445599931292
baseline,4800,99.96462272184206,0.09837467140132312,0.00649675011807113,0.9808028027890565,12.84068587597739,14.870487999985926
baseline,4900,99.92037798990503,0.2821349330500228,0.018632439971535936,0.7830639439974777,18.668609870145456,15.233411299996078
baseline,5000,100.00285547650809,0.09754828795196382,0.006442175025766173,1.3186148970699563,12.760144518271302,15.572518599918112
B_only,0,0.0,14.142135623730951,0.9339591174686886,0.0,9.402127418834526,0.005159999942407012
B_only,100,103.33879984838859,1.5472346009176,0.10218073852757954,1.3343257769917376,8.830028190017288,0.3490355999674648
B_only,200,97.85329098450943,0.7079389968387725,0.04675291612956374,1.2282936129175672,7.669874558789678,0.6606532000005245
B_only,300,99.47007706505394,0.4198746617340278,0.027728893213451,0.8936697065734042,8.641680213359335,1.0621136999689043
B_only,400,99.44437432278768,0.2839078403774283,0.018749524336084022,0.6987973075203644,7.809031755549708,1.374108999967575
B_only,500,99.80181145625863,0.2311236802881622,0.01526361182011487,0.5780785274884223,9.746770716257819,1.6960735999746248
B_only,600,99.82129965126848,0.1612425370738389,0.010648599449944004,0.5832428130578018,7.479822923582918,2.0061966000357643
B_only,700,99.84203936655993,0.172434535064882,0.011387728874561152,0.4011051640782579,10.398203465042156,2.330142299993895
B_only,800,99.90847672178876,0.1322797957303727,0.0087358744510954,0.4498614197443785,7.146448747733853,2.7002876999322325
B_only,900,99.97276662332155,0.15613892893744447,0.010311552664522534,0.29435132103063644,10.734422416209215,3.0347746999468654
B_only,1000,99.98482182821303,0.09310996385762059,0.0061490641856157624,0.49167358699474073,6.848223056709011,3.431041399948299
B_only,1100,99.99057476275335,0.1438926036835449,0.00950279453698952,0.3101736473682084,10.118108047357397,3.797284899977967
B_only,1200,99.96407372877546,0.07825355940335982,0.005167934124214277,0.46341464157837475,6.653639761670179,4.216207499965094
B_only,1300,99.97671241473893,0.19699194582742582,0.01300952195400347,0.3145537170705841,9.905743955862265,4.516290899948217
B_only,1400,100.01757144409014,0.08081201695620642,0.005336896918923166,0.6437064318180963,6.461866422280104,4.759076499962248
B_only,1500,100.00481683374133,0.18138464272888546,0.011978801883442195,0.36750037516340994,10.123320222716691,5.1000542000401765
B_only,1600,100.00072213532815,0.08865416026679103,0.005854798984091193,0.4755264255343003,7.08728007250924,5.517209499957971
B_only,1700,99.98511725382505,0.2313853780630565,0.015280894572125371,0.38743642326441396,10.399444674609756,5.876846799976192
B_only,1800,100.03972182281852,0.09232952268645439,0.006097523161908177,0.7746526939382817,6.987411899733904,6.277498899959028
B_only,1900,100.05674086587656,0.21246837230621204,0.014031598817093467,0.40402994647819895,11.060176111986568,6.717278699972667
B_only,2000,100.02099249934325,0.0908583655939403,0.006000366649176348,0.579446688215429,7.898581705749165,7.061002800008282
B_only,2100,99.98396881980638,0.2538401597088806,0.016763828169063483,0.46266736178497825,11.627082208513965,7.371755999978632
B_only,2200,100.04530165122078,0.10181954361365564,0.006724252519181161,0.9297684330255553,7.849105453396844,7.730775099946186
B_only,2300,100.05591049412799,0.23517179211339514,0.015530952697638692,0.4490735771455614,12.326618342337596,8.020604399964213
B_only,2400,100.01851900874183,0.09917061185425677,0.00654931472802524,0.6187795472428586,8.75549621030783,8.296733899973333
B_only,2500,99.95098019711769,0.26208332428409287,0.017308214032461345,0.5266858990839247,12.887360054916956,8.578312000026926
B_only,2600,100.03600103001637,0.10504329829874431,0.006937152123648866,1.0535452271016355,8.698870592001267,8.944522100035101
